country_code,country_name,flag_path,anthem_music_path,anthem_text_path,anthem_keywords
dz,Algeria,flag_images\dz.jpg,anthems_music\dz.mp3,anthems_text\dz.txt,"[('witness', 15), ('live', 6), ('determined', 5), ('algeria', 5), ('shall', 4), ('blood', 2), ('revolt', 2), ('us', 2), ('france', 2), ('ended', 2)]"
zm,Zambia,flag_images\zm.jpg,anthems_music\zm.mp3,anthems_text\zm.txt,"[('one', 7), ('zambia', 6), ('free', 6), ('praise', 6), ('strong', 4), ('land', 3), ('stand', 2), ('nation', 2), ('thee', 2), ('sing', 1)]"
cf,Central African Republic,flag_images\cf.jpg,anthems_music\cf.mp3,anthems_text\cf.txt,"[('take', 2), ('respect', 2), ('long', 2), ('breaking', 2), ('work', 2), ('order', 2), ('dignity', 2), ('rights', 2), ('unity', 2), ('oh', 1)]"
mk,North Macedonia,flag_images\mk.jpg,anthems_music\mk.mp3,anthems_text\mk.txt,"[('free', 4), ('macedonia', 3), ('new', 3), ('macedonians', 2), ('fight', 2), ('rights', 2), ('lives', 2), ('today', 1), ('sun', 1), ('freedom', 1)]"
nz,New Zealand,flag_images\nz.jpg,anthems_music\nz.mp3,anthems_text\nz.txt,"[('god', 11), ('defend', 10), ('thy', 5), ('free', 5), ('land', 5), ('new', 5), ('zealand', 5), ('make', 4), ('us', 4), ('love', 3)]"
li,Liechtenstein,flag_images\li.jpg,anthems_music\li.mp3,anthems_text\li.txt,"[('long', 5), ('live', 5), ('fatherland', 4), ('young', 2), ('rhine', 2), ('liechtenstein', 2), ('beloved', 2), ('homeland', 2), ('dear', 2), ('chosen', 2)]"
lt,Lithuania,flag_images\lt.jpg,anthems_music\lt.mp3,anthems_text\lt.txt,"[('land', 3), ('let', 3), ('may', 3), ('lithuania', 2), ('homeland', 1), ('worshiped', 1), ('heroes', 1), ('sons', 1), ('draw', 1), ('strength', 1)]"
ug,Uganda,flag_images\ug.jpg,anthems_music\ug.mp3,anthems_text\ug.txt,"[('oh', 3), ('uganda', 3), ('land', 3), ('always', 2), ('stand', 2), ('may', 1), ('god', 1), ('uphold', 1), ('thee', 1), ('lay', 1)]"
ne,Niger,flag_images\ne.jpg,anthems_music\ne.mp3,anthems_text\ne.txt,"[('niger', 6), ('let', 3), ('us', 3), ('africa', 3), ('forward', 3), ('fatherland', 2), ('ideals', 2), ('peace', 2), ('country', 2), ('make', 2)]"
nf,Norfolk Island,flag_images\nf.jpg,anthems_music\nf.mp3,anthems_text\nf.txt,"[('ye', 10), ('unto', 4), ('done', 3), ('gave', 2), ('come', 1), ('blessed', 1), ('father', 1), ('inherit', 1), ('kingdom', 1), ('prepared', 1)]"
cz,Czech Republic,flag_images\cz.jpg,anthems_music\cz.mp3,anthems_text\cz.txt,"[('home', 4), ('land', 3), ('across', 2), ('czech', 2), ('water', 1), ('roaring', 1), ('meadows', 1), ('pines', 1), ('whisper', 1), ('crags', 1)]"
no,Norway,flag_images\no.jpg,anthems_music\no.mp3,anthems_text\no.txt,"[('country', 6), ('gave', 6), ('stand', 5), ('love', 4), ('united', 4), ('forth', 3), ('sends', 3), ('spoke', 3), ('could', 3), ('soon', 3)]"
gm,Gambia,flag_images\gm.jpg,anthems_music\gm.mp3,anthems_text\gm.txt,"[('gambia', 2), ('homeland', 1), ('strive', 1), ('work', 1), ('pray', 1), ('may', 1), ('live', 1), ('unity', 1), ('freedom', 1), ('peace', 1)]"
am,Armenia,flag_images\am.jpg,anthems_music\am.mp3,anthems_text\am.txt,"[('armenia', 4), ('may', 4), ('free', 3), ('age', 2), ('sons', 2), ('daughters', 2), ('proclaim', 2), ('sovereign', 2), ('sleepless', 2), ('nights', 2)]"
ee,Estonia,flag_images\ee.jpg,anthems_music\ee.mp3,anthems_text\ee.txt,"[('fatherland', 5), ('precious', 3), ('shall', 2), ('joy', 1), ('happiness', 1), ('beautiful', 1), ('find', 1), ('ever', 1), ('huge', 1), ('wide', 1)]"
bt,Bhutan,flag_images\bt.jpg,anthems_music\bt.mp3,anthems_text\bt.txt,"[('druk', 2), ('kingdom', 1), ('cypresses', 1), ('grow', 1), ('refuge', 1), ('glorious', 1), ('monastic', 1), ('civil', 1), ('traditions', 1), ('king', 1)]"
pa,Panama,flag_images\pa.jpg,anthems_music\pa.mp3,anthems_text\pa.txt,"[('finally', 1), ('attained', 1), ('victory', 1), ('happy', 1), ('field', 1), ('union', 1), ('glowing', 1), ('splendour', 1), ('new', 1), ('nation', 1)]"
km,Comoros,flag_images\km.jpg,anthems_music\km.mp3,anthems_text\km.txt,"[('us', 5), ('islands', 5), ('always', 4), ('love', 4), ('let', 3), ('flag', 2), ('flying', 2), ('nation', 2), ('rises', 2), ('faith', 2)]"
kh,Cambodia,flag_images\kh.jpg,anthems_music\kh.mp3,anthems_text\kh.txt,"[('heaven', 2), ('glory', 2), ('moha', 2), ('nokor', 2), ('khmer', 2), ('let', 2), ('us', 2), ('protects', 1), ('king', 1), ('gives', 1)]"
sb,Solomon Islands,flag_images\sb.jpg,anthems_music\sb.mp3,anthems_text\sb.txt,"[('solomon', 4), ('islands', 4), ('shore', 2), ('god', 1), ('save', 1), ('bless', 1), ('people', 1), ('lands', 1), ('protecting', 1), ('hands', 1)]"
bm,Bermuda,flag_images\bm.jpg,anthems_music\bm.mp3,anthems_text\bm.txt,"[('strength', 5), ('bermuda', 4), ('heart', 4), ('sing', 3), ('mine', 3), ('hail', 2), ('grown', 2), ('long', 2), ('live', 2), ('island', 1)]"
ni,Nicaragua,flag_images\ni.jpg,anthems_music\ni.mp3,anthems_text\ni.txt,"[('blood', 2), ('brothers', 2), ('stain', 2), ('glorious', 2), ('bicoloured', 2), ('flag', 2), ('triumphal', 2), ('ensign', 2), ('hail', 1), ('thee', 1)]"
fk,Falkland Islands (Malvinas),flag_images\fk.jpg,anthems_music\fk.mp3,anthems_text\fk.txt,"[('isles', 4), ('far', 3), ('sea', 3), ('home', 3), ('wind', 2), ('kelp', 2), ('camp', 2), ('though', 2), ('falklands', 2), ('house', 2)]"
kz,Kazakhstan,flag_images\kz.jpg,anthems_music\kz.mp3,anthems_text\kz.txt,"[('country', 7), ('golden', 2), ('land', 2), ('sky', 1), ('sun', 1), ('steppe', 1), ('seed', 1), ('legend', 1), ('courage', 1), ('take', 1)]"
sh,"Saint Helena, Ascension and Tristan da Cunha",flag_images\sh.jpg,anthems_music\sh.mp3,anthems_text\sh.txt,"[('helena', 6), ('island', 4), ('home', 2), ('diamonds', 2), ('pretty', 2), ('fancy', 2), ('cars', 2), ('prettier', 2), ('far', 2), ('heart', 1)]"
cm,Cameroon,flag_images\cm.jpg,anthems_music\cm.mp3,anthems_text\cm.txt,"[('children', 3), ('love', 3), ('ancestors', 2), ('may', 2), ('forever', 2), ('dear', 2), ('cameroon', 1), ('cradle', 1), ('go', 1), ('stand', 1)]"
fj,Fiji,flag_images\fj.jpg,anthems_music\fj.mp3,anthems_text\fj.txt,"[('fiji', 10), ('god', 5), ('ever', 4), ('bless', 3), ('blessing', 2), ('grant', 2), ('oh', 2), ('nations', 2), ('isles', 2), ('stand', 2)]"
vi,"Virgin Islands, U.S.",flag_images\vi.jpg,anthems_music\vi.mp3,anthems_text\vi.txt,"[('islands', 9), ('virgin', 8), ('thee', 4), ('bless', 3), ('right', 3), ('hail', 2), ('land', 2), ('forever', 2), ('love', 2), ('march', 2)]"
tt,Trinidad and Tobago,flag_images\tt.jpg,anthems_music\tt.mp3,anthems_text\tt.txt,"[('side', 2), ('every', 2), ('creed', 2), ('race', 2), ('equal', 2), ('place', 2), ('may', 2), ('god', 2), ('bless', 2), ('nation', 2)]"
